signature	comparison	grp1	grp2	pval	grp1.min	grp1.25	grp1.median	grp1.75	grp1.max	grp1.mean	grp2.min	grp2.25	grp2.median	grp2.75	grp2.max	grp2.mean	grp1.detection	grp2.detection	signif_label
SBS86	IHC-EHC	IHC	EHC	0.225232638424953	0	0	0.00281080466579703	0.019331644867624	0.20877043164264	0.017477787090275	0	0	0.0012614819683842	0.0161117289719121	0.098821107882125	0.0132812718911511	0.160542168674699	0.133239669421488	
SBS87	IHC-EHC	IHC	EHC	0.022449011208082	0	0.00223205142081967	0.0257584916736578	0.10082261521164	0.509753586221566	0.0692371486848232	0	0.0120204598525408	0.0589284808871316	0.12254315652572	0.467790877606892	0.0913103738017496	0.32004016064257	0.380280991735537	*
SBS9	IHC-EHC	IHC	EHC	0.375581887472963	0	0	0	0.00103347948624523	0.0702289196326728	0.00321655637129775	0	0	0	0.000914893589251492	0.227818816445849	0.00596364055624275	0.0310642570281125	0.0478760330578512	
SBS96	IHC-EHC	IHC	EHC	0.281408369844199	0	0	0.00123410419741115	0.0122356335150485	0.209445971540338	0.014932339841518	0	0	0.000611199401598332	0.0105250887095487	0.234728882919968	0.0126897606830711	0.110220883534137	0.081198347107438	
SBS97	IHC-EHC	IHC	EHC	0.0746929716546497	0	0	0.00640948296638071	0.0337214924604706	0.175774091838853	0.0224901872541249	0	0	0.00255844801227575	0.0243946571567714	0.111272229715986	0.0159619539563816	0.2384859437751	0.170586776859504	
SBS98	IHC-EHC	IHC	EHC	0.221646555268096	0	0	0.000280235781899935	0.00851185059157379	0.190867602295437	0.00954390416274369	0	0	0.00133593639926362	0.00645706796253837	0.0758039264855607	0.00803944011810215	0.0857590361445783	0.0789256198347108	
SBS99	IHC-EHC	IHC	EHC	0.537559237400263	0	5.71582381906185e-05	0.00264148705001808	0.0195584883044867	0.196811597207638	0.0169210708356457	0	0.000122355052597022	0.00297465845420826	0.0217270597418625	0.134626364809062	0.0179316360023874	0.138236947791165	0.144363636363636	
SBS1	IHC-PHC	IHC	PHC	0.00101289738723983	0	0.0504697533516351	0.125311671883192	0.216278862791771	0.657665244130419	0.147058261955008	0.00391240601535627	0.100262800490587	0.177998246767913	0.308135813987467	0.542566548330188	0.203441945517939	0.776377510040161	0.877465753424658	**
SBS10a	IHC-PHC	IHC	PHC	0.593315896928131	0	0	0	0	0.33422850358624	0.00134228314693269	0	0	0	0	0	0	0.00401606425702811	0	
SBS10b	IHC-PHC	IHC	PHC	0.922825859796264	0	0	0	0	0.485382024520957	0.00210988794834877	0	0	0	0	0.00040335796128725	5.52545152448287e-06	0.00693574297188755	8.21917808219178e-05	
SBS10c	IHC-PHC	IHC	PHC	0.175644036012402	0	7.46523477962909e-05	0.00335280159748612	0.0284021951006346	0.164890620557453	0.0204601260337844	0	0	0.00142494147427326	0.0151599506473085	0.212936255391525	0.0198458514597002	0.186638554216867	0.142890410958904	
SBS10d	IHC-PHC	IHC	PHC	0.731772403191991	0	0	0	0.000802328917784679	0.052137493276421	0.00229479013840977	0	0	0	0.00065129044173438	0.0172501166062933	0.00101517035925407	0.0242570281124498	0.0132602739726027	
SBS12	IHC-PHC	IHC	PHC	0.0102847753428118	0	0.000251080000417437	0.00485042358607518	0.0286393921662028	0.277448347730974	0.0243624997121209	0	0	0.00117302942006399	0.0151424999028211	0.110357560478847	0.0127253008853075	0.196915662650602	0.110013698630137	*
SBS13	IHC-PHC	IHC	PHC	0.0892993713971364	0	0	0.00360401537150435	0.028456177987897	0.298281397555889	0.0243071702401864	0	0	0.00967869186098367	0.0669108548620035	0.461644345448685	0.056466990533693	0.262240963855422	0.380931506849315	
SBS15	IHC-PHC	IHC	PHC	0.137525126738392	0	0	0	0	0.470417942801817	0.023091875577585	0	0	0	0	0.431734745381483	0.0320192371489836	0.0958955823293173	0.128904109589041	
SBS16	IHC-PHC	IHC	PHC	0.01137406474402	0	0	0.00308542467428734	0.0275709825835401	0.517768177215653	0.0347662224198684	0	0	0.00028499154301119	0.0127631973529589	0.289423185607631	0.0230713161365635	0.203333333333333	0.129890410958904	*
SBS17a	IHC-PHC	IHC	PHC	0.0929147505573721	0	0	0	0.0058647237039784	0.0706007577005264	0.0064060196315356	0	0	0.0001091254138342	0.0165907903609782	0.0726735018889299	0.0098179258763869	0.0844859437751004	0.123246575342466	
SBS17b	IHC-PHC	IHC	PHC	0.216889638474024	0	0	0	0.00424201078060717	0.153809985076058	0.00731884633579568	0	0	0	0.000709478268024649	0.270370798863671	0.00662262032639384	0.106461847389558	0.0732876712328767	
SBS18	IHC-PHC	IHC	PHC	0.0561986422102957	0	0	0.00137559028451946	0.0143719839508163	0.404546482281776	0.0223501702636818	0	0	0.000164149730691503	0.0067510584034504	0.101013337306729	0.00989382073295971	0.136044176706827	0.0819589041095891	
SBS2	IHC-PHC	IHC	PHC	0.0286623718993644	0	0.000334373506978257	0.0157391273919494	0.0480406648454551	0.384811078401798	0.0341559111461205	0	0.00106112985279509	0.0306385093691754	0.0694303814703043	0.413161622940027	0.0611587421533004	0.39429718875502	0.486780821917808	*
SBS20	IHC-PHC	IHC	PHC	0.21298517936006	0	0	0	0	0.262456904916382	0.00620015907728796	0	0	0	0	0.101291739308785	0.00471984384174079	0.0424859437751004	0.036972602739726	
SBS21	IHC-PHC	IHC	PHC	0.205947312052584	0	0	0	0	0.255257426019838	0.0027244219307308	0	0	0	0	0.159439159324872	0.00251000627819863	0.0191124497991968	0.0188904109589041	
SBS22a	IHC-PHC	IHC	PHC	0.0429962041843217	0	0	0.000141700719852725	0.00956814531216456	1	0.0454029400904151	0	0	0	0.00283488674038588	0.463381122401614	0.0174136953504686	0.148329317269076	0.0888493150684932	*
SBS22b	IHC-PHC	IHC	PHC	0.632817571854901	0	0	0	0.00121907708496304	0.0979057958565983	0.00270048586845141	0	0	0	0.00169149522756072	0.0776348652275494	0.00466824040643247	0.0320562248995984	0.0526301369863014	
SBS24	IHC-PHC	IHC	PHC	0.0677154117679904	0	0.00017539871605934	0.00733679510408224	0.0448160355537041	0.857121996391833	0.0516887143749082	0	0	0.00399847963350448	0.0306816897685588	0.291544785387806	0.0247741069007545	0.235831325301205	0.154547945205479	
SBS28	IHC-PHC	IHC	PHC	0.935711324459075	0	0	0	0.000935761205987115	0.171158336816228	0.00352109376777128	0	0	0	0.00185947075249219	0.0701315524142401	0.00371680272735189	0.0447269076305221	0.0467534246575343	
SBS29	IHC-PHC	IHC	PHC	0.0461970401532807	0	0	0.00059699829884829	0.00604476649280125	0.594977313191959	0.0110592318613752	0	0	0.000106044439467447	0.00138271018796283	0.148558984614779	0.00611638987092965	0.0672208835341366	0.0449041095890411	*
SBS3	IHC-PHC	IHC	PHC	0.155863304214908	0	0.00025297693944399	0.00423165887228135	0.0331489185022585	0.421007475221814	0.03730966144153	0	0	0.00355003343046621	0.0204414640315478	0.510752170036783	0.0339207351090278	0.152963855421687	0.137671232876712	
SBS32	IHC-PHC	IHC	PHC	0.131734942537931	0	3.52403948436921e-05	0.00206866399258461	0.0228377010910982	0.342286480632363	0.0212598588678086	0	0	0.000746047211792299	0.0168484724208069	0.371257815975805	0.0176826273219574	0.151903614457831	0.111684931506849	
SBS38	IHC-PHC	IHC	PHC	0.0489185824708375	0	0	0	0.00070663050841239	0.163572653965563	0.00397656382748537	0	0	0	0.00423103452989347	0.509973090243047	0.0213336417880342	0.031570281124498	0.0760958904109589	*
SBS4	IHC-PHC	IHC	PHC	0.8171973115414	0	0	0.000282641212438196	0.00507385272120551	0.400462540479123	0.0173481750800248	0	0	0.000226210410514726	0.00588231453286861	0.0888113303581751	0.0092625260739078	0.0842248995983936	0.0438219178082192	
SBS40a	IHC-PHC	IHC	PHC	0.102075658243002	0	0.00348072368662173	0.0316879482805352	0.172891389774771	0.530127622935994	0.0985040535620977	0	0.000447829544297323	0.0158377677980302	0.0898882340661051	0.419276598646859	0.0721029854939373	0.318313253012048	0.250602739726027	
SBS40b	IHC-PHC	IHC	PHC	0.355198132827828	0	0	0.000331749366949996	0.00505626325911674	0.223214889969846	0.00922395776426898	0	0	0.000294490037991308	0.00541863247166402	0.114801873685732	0.00723098663190716	0.0620200803212851	0.054041095890411	
SBS40c	IHC-PHC	IHC	PHC	0.781810541714653	0	0.000204430189943088	0.00572682092462486	0.0406584082194457	0.531257151352056	0.0367131234374968	0	0.00023074284894391	0.0047297512397644	0.029424155627957	0.296270224589502	0.0332920788096661	0.156232931726908	0.133424657534247	
SBS42	IHC-PHC	IHC	PHC	0.0284299577221503	0	0.00146416222292596	0.0275932061374287	0.109017253144776	0.992955395772523	0.0711122341546673	0	0.00297896646215273	0.0714515114374571	0.191034621676712	0.52501115584479	0.11532411021624	0.355176706827309	0.452397260273973	*
SBS44	IHC-PHC	IHC	PHC	0.0165869027526068	0	0	0	0	0.204937107722196	0.00223327628553598	0	0	0	0	0.159724456899347	0.00521221692541026	0.0122248995983936	0.0266027397260274	*
SBS5	IHC-PHC	IHC	PHC	0.0203060509882401	0	0.00555349181572841	0.0291238985351337	0.113557458330517	0.57883242074415	0.075178989818338	0	0.00229341458321511	0.014355821654499	0.0516112950860744	0.190701376951991	0.0394881159050259	0.269012048192771	0.179739726027397	*
SBS86	IHC-PHC	IHC	PHC	0.0442638161651058	0	0	0.00281080466579703	0.019331644867624	0.20877043164264	0.017477787090275	0	0	0.000888674868519948	0.00802988650632292	0.0981543661200073	0.0106391065495831	0.160542168674699	0.10627397260274	*
SBS87	IHC-PHC	IHC	PHC	0.767133400446474	0	0.00223205142081967	0.0257584916736578	0.10082261521164	0.509753586221566	0.0692371486848232	0	0.00208702787730236	0.0438709851799955	0.0949298572293834	0.430231962448943	0.0748123752951316	0.32004016064257	0.31727397260274	
SBS9	IHC-PHC	IHC	PHC	0.73421828973449	0	0	0	0.00103347948624523	0.0702289196326728	0.00321655637129775	0	0	0	0.00114508395006617	0.227818816445849	0.00893317057653308	0.0310642570281125	0.069972602739726	
SBS96	IHC-PHC	IHC	PHC	0.493072229922106	0	0	0.00123410419741115	0.0122356335150485	0.209445971540338	0.014932339841518	0	0	0.000898553341139917	0.0154701018889442	0.234728882919968	0.012740010651907	0.110220883534137	0.079013698630137	
SBS97	IHC-PHC	IHC	PHC	0.0273363054531161	0	0	0.00640948296638071	0.0337214924604706	0.175774091838853	0.0224901872541249	0	0	0.00114839486051628	0.0224965828226991	0.111272229715986	0.0145815024386831	0.2384859437751	0.145178082191781	*
SBS98	IHC-PHC	IHC	PHC	0.718599753153234	0	0	0.000280235781899935	0.00851185059157379	0.190867602295437	0.00954390416274369	0	0	0.000764980931390701	0.00404501117321574	0.0468384207513378	0.00411670272292146	0.0857590361445783	0.0447123287671233	
